Comment,Sentiment,Cleaned_Comment,Predicted
this is just a simple respectful game of chess and i love it that kid is great i support him,positive,this is just a simple respectful game of chess and i love it that kid is great i support him,positive
i always wonder why his videos are never in trending they are so hilarious yet to the point,positive,i always wonder why his videos are never in trending they are so hilarious yet to the point,positive
wow this was an awesome presentation ill focus on the first speaker since i was somewhat familiar with the subject i also liked the second one he explained all of the key concepts as clearly as i have seen and i have looked at a lot of videos this is a master class in how to do it i hope he presents on many more related topics definitely worth watching thank you so much,positive,wow this was an awesome presentation ill focus on the first speaker since i was somewhat familiar with the subject i also liked the second one he explained all of the key concepts as clearly as i have seen and i have looked at a lot of videos this is a master class in how to do it i hope he presents on many more related topics definitely worth watching thank you so much,positive
the guy that saved him from a firing squad was clearly a time traveller,neutral,the guy that saved him from a firing squad was clearly a time traveller,neutral
backroom hunter is back,positive,backroom hunter is back,positive
muchas gracias video muy ilustrativo concreto y preciso para tener un panorama de los modelos de aprendizaje automático ml,neutral,muchas gracias video muy ilustrativo concreto y preciso para tener un panorama de los modelos de aprendizaje automtico ml,neutral
like và đăng kí để mình có động lực để làm 400 ngày nha mọi người,neutral,like v ng k  mnh c ng lc  lm  ngy nha mi ngi,neutral
“oh ok so this must be some jerkwad driving like in doctor strange“ spaceship “what the hell” oo,negative,oh ok so this must be some jerkwad driving like in doctor strange spaceship what the hell oo,neutral
inverse cramer time to buy bbby,neutral,inverse cramer time to buy bbby,neutral
love this their reactions so authentic,positive,love this their reactions so authentic,positive
you make the world a better place jimmy thank you for that ,positive,you make the world a better place jimmy thank you for that ,positive
those are valuable pieces of advice i always get caught going deep but my main problem is distraction i end up learning too many things,negative,those are valuable pieces of advice i always get caught going deep but my main problem is distraction i end up learning too many things,negative
more ram being allocated to game devs is nice but it doesn’t solve one of the biggest issues of the series s which is the bandwidth of the memory itself also more ram doesn’t really mean higher frame rates but higher quality textures or assets or increase the distance before you see lod culling it isn’t going to affect frame rate by going from 30 to 60 but it might allow a stuttering inconsistent 30 fps to hold a more locked 30 fps,negative,more ram being allocated to game devs is nice but it doesnt solve one of the biggest issues of the series s which is the bandwidth of the memory itself also more ram doesnt really mean higher frame rates but higher quality textures or assets or increase the distance before you see lod culling it isnt going to affect frame rate by going from  to  but it might allow a stuttering inconsistent  fps to hold a more locked  fps,positive
i have an interview tomorrow ♡ thank you for your tips ♡ god bless you richard ♡ 107 focus on creating a positive first impression and you can do this by showing up to the interview venue 20 minutes before the interview starts this shows that you are punctual and organized read your job interview introduction and job description by doing this it gets you relaxed and composed and makes sure youre prepared for whats coming in your interview 148 dress professionally for your interview how you dress says alot about your intentions for this job it shows that you care 217 have good posture always smile and demosthenes good manners when you first meet the interviewer say hi my name is x and im here today for the interview thank you very much just by saying that demonstrates really good manners and do not sit down in the interview chair until youre invited to do so 247 when you sit down the interviewer may ask you to introduce yourself or tell them about yourself please include the following 4 things talk about the skills and qualities you have that are a match for the role talk about any experience or qualifications you possess that are relevant to the role talk about any significant achievements you have gained in your work life and personal life so far talk about the type of person you are and what youre going to do in the role if the hire you 340 job interview script that we can use ♡ thanks richard ♡,positive,i have an interview tomorrow  thank you for your tips  god bless you richard   focus on creating a positive first impression and you can do this by showing up to the interview venue  minutes before the interview starts this shows that you are punctual and organized read your job interview introduction and job description by doing this it gets you relaxed and composed and makes sure youre prepared for whats coming in your interview  dress professionally for your interview how you dress says alot about your intentions for this job it shows that you care  have good posture always smile and demosthenes good manners when you first meet the interviewer say hi my name is x and im here today for the interview thank you very much just by saying that demonstrates really good manners and do not sit down in the interview chair until youre invited to do so  when you sit down the interviewer may ask you to introduce yourself or tell them about yourself please include the following  things talk about the skills and qualities you have that are a match for the role talk about any experience or qualifications you possess that are relevant to the role talk about any significant achievements you have gained in your work life and personal life so far talk about the type of person you are and what youre going to do in the role if the hire you  job interview script that we can use  thanks richard ,positive
tingman really just destroyed the internals of 170 of cubes for this one video thats dedication,negative,tingman really just destroyed the internals of  of cubes for this one video thats dedication,positive
we both studied in same school at chennai its very amazing to see sundar now he was a calm and quite guy in class room a bit of shy but he was studious,positive,we both studied in same school at chennai its very amazing to see sundar now he was a calm and quite guy in class room a bit of shy but he was studious,positive
about 15 years ago or more i remember people saying how apple was way more secure than pc back then i said dont count on it everything has a target on on it,neutral,about  years ago or more i remember people saying how apple was way more secure than pc back then i said dont count on it everything has a target on on it,neutral
i really wish they would beef up the storage on the s for its current price a 1tb xbox x is the same price as an s with a 1tb expansion makes it way less appealing granted you end up with a little more storage that way but also less capability in the s overall i feel if it wasnt for the whole world collectively crapping itself over the last couple yrs last gen would have already been put out to pasture as it stands theres not enough current gen owners to pull that trigger yet so games have this half in half out feel hopefully production ramps up for ps and xbox so we can leave last gen behind,negative,i really wish they would beef up the storage on the s for its current price a tb xbox x is the same price as an s with a tb expansion makes it way less appealing granted you end up with a little more storage that way but also less capability in the s overall i feel if it wasnt for the whole world collectively crapping itself over the last couple yrs last gen would have already been put out to pasture as it stands theres not enough current gen owners to pull that trigger yet so games have this half in half out feel hopefully production ramps up for ps and xbox so we can leave last gen behind,negative
almost every industry is going subscription based why wouldnt gaming its going to happen and at least microsoft is at the helm and doing it right i feel completely respected as a consumer and it seems to me to be healthy for gaming,positive,almost every industry is going subscription based why wouldnt gaming its going to happen and at least microsoft is at the helm and doing it right i feel completely respected as a consumer and it seems to me to be healthy for gaming,positive
обажаю музыку 60х70х вечная настоящее владение инструментом голосом талантом без электронной обработки,neutral,           ,neutral
plant and canelos postfight talk is honestly one of the best moments ive ever seen great stuff before the bell in the ring and after the fight,positive,plant and canelos postfight talk is honestly one of the best moments ive ever seen great stuff before the bell in the ring and after the fight,positive
great production great coverage and a show that is so levelled that you can watch it while you are busy doing other things thanks chess 24,positive,great production great coverage and a show that is so levelled that you can watch it while you are busy doing other things thanks chess ,positive
she has a lot of potential to become a rapper,positive,she has a lot of potential to become a rapper,positive
ptr is hundred times in brilliance and in performance than modi and sitaraman excellent speach by tn finance minister a well educated and well known economist we need leaders like him to counter false narratives indian leaders become arrogant the power centers enjoy every thing free for life time from air to airplanes what about the poor,positive,ptr is hundred times in brilliance and in performance than modi and sitaraman excellent speach by tn finance minister a well educated and well known economist we need leaders like him to counter false narratives indian leaders become arrogant the power centers enjoy every thing free for life time from air to airplanes what about the poor,positive
that emotion after they showed the wf trailer was incredible,positive,that emotion after they showed the wf trailer was incredible,positive
believe or not but poco x3 pro id still king  i am using it from 10 monthsi can play with recording constant 60 fps,positive,believe or not but poco x pro id still king  i am using it from  monthsi can play with recording constant  fps,neutral
viva ucrania dale una buena dosis de su propia medicina a la rapiña rusa sin piedad al agresor ruso,neutral,viva ucrania dale una buena dosis de su propia medicina a la rapia rusa sin piedad al agresor ruso,positive
i think trump’s ties to the saudis pushed this search over the edge its a matter of national security,neutral,i think trumps ties to the saudis pushed this search over the edge its a matter of national security,neutral
the japanese packaging is cute i’m also surprised mcfloats aren’t a thing here but the ice cream machines are always down so maybe that’s a factor,positive,the japanese packaging is cute im also surprised mcfloats arent a thing here but the ice cream machines are always down so maybe thats a factor,positive
mom and grandma had an experience in the 70’s with a bright led circle as she explained the size of the home mom said it shot bright lights on them for a minute or so and shot off like a bullet without any sound the next day grandma led us to the field behind the house with a huge round burnt spot ,neutral,mom and grandma had an experience in the s with a bright led circle as she explained the size of the home mom said it shot bright lights on them for a minute or so and shot off like a bullet without any sound the next day grandma led us to the field behind the house with a huge round burnt spot ,positive
its so sad to think of how many fossils were lost,negative,its so sad to think of how many fossils were lost,negative
quickest way to lose money is to follow these guys how is aioz doing after the tweet that said buy this this is financial advice,negative,quickest way to lose money is to follow these guys how is aioz doing after the tweet that said buy this this is financial advice,neutral
it cant penetrate and come into it hank likes his biology hardcore,neutral,it cant penetrate and come into it hank likes his biology hardcore,positive
part of the problem is millions sold their homes to large companies like black rock instead of to actual families those type of companies want money so they jack up the rent and never sell those homes to families i know everyone want money but think twice about selling your home to those companies every time you do you prevent other families from being able to afford a home and subject them to outrageous rent prices i speak from experience,negative,part of the problem is millions sold their homes to large companies like black rock instead of to actual families those type of companies want money so they jack up the rent and never sell those homes to families i know everyone want money but think twice about selling your home to those companies every time you do you prevent other families from being able to afford a home and subject them to outrageous rent prices i speak from experience,negative
love this perfect every day and put together look ,positive,love this perfect every day and put together look ,positive
i am 37 and finally realizing that i have to invest in my self and mental health or else it will be my demise i have made drastic changes and by sticking to them and not feeling guilty i am definitely looking and feeling better,positive,i am  and finally realizing that i have to invest in my self and mental health or else it will be my demise i have made drastic changes and by sticking to them and not feeling guilty i am definitely looking and feeling better,positive
n3on no way bro x2 me makes swish and breaks my brothers ankles n3on cant even dribble,negative,non no way bro x me makes swish and breaks my brothers ankles non cant even dribble,positive
the screaming when he was strangling him i literally laughed so hard ,positive,the screaming when he was strangling him i literally laughed so hard ,positive
oh wow great sounds and impressive pictures  so great to just switch off relax and escape from everyday life should really be done regularly thank you great work and all the best ,positive,oh wow great sounds and impressive pictures  so great to just switch off relax and escape from everyday life should really be done regularly thank you great work and all the best ,positive
i think the end of the endless pursuit for thinness and design ie form over function represents the lifting of a burden on apples legendary branding apples prioritization on performance and functionality is going to be a great thing to see,positive,i think the end of the endless pursuit for thinness and design ie form over function represents the lifting of a burden on apples legendary branding apples prioritization on performance and functionality is going to be a great thing to see,positive
my all time favorite writer an entire school of life episode could be dedicated to tolstoys short stories strider god sees the truth but waits what men live by master and man the wood felling sevastopol ive read all those stories 50 times and hope to read them 50 more james joyce once said that tolstoys how much land does a man need is the greatest short story ever written,positive,my all time favorite writer an entire school of life episode could be dedicated to tolstoys short stories strider god sees the truth but waits what men live by master and man the wood felling sevastopol ive read all those stories  times and hope to read them  more james joyce once said that tolstoys how much land does a man need is the greatest short story ever written,positive
vesper looks like miyazakis nausicaa appeared in a film of david cronenberg eg existenz or mentioned in the list crimes of the future or more probably in garlands annihilation also i must noted a strong stalenhag worlds vibe,neutral,vesper looks like miyazakis nausicaa appeared in a film of david cronenberg eg existenz or mentioned in the list crimes of the future or more probably in garlands annihilation also i must noted a strong stalenhag worlds vibe,positive
i feel like every time he mixes up a hard puzzle and doesn’t solve it i come a bit closer to dying,negative,i feel like every time he mixes up a hard puzzle and doesnt solve it i come a bit closer to dying,neutral
ive been using the door trick for years had a base entrance that used it once only problem is since they added crawling if you dont time it right you get sandwiched under the top block of the door,negative,ive been using the door trick for years had a base entrance that used it once only problem is since they added crawling if you dont time it right you get sandwiched under the top block of the door,neutral
am so grateful when people are serious and honest it’s not only effecting people in us also outside,positive,am so grateful when people are serious and honest its not only effecting people in us also outside,positive
i was just thinking yesterday “man it’s been a while since jerry uploaded” always a joy to see you uploading especially the analysis vids,positive,i was just thinking yesterday man its been a while since jerry uploaded always a joy to see you uploading especially the analysis vids,positive
i just cant get over how you got kickedbanned for shooting and resisting an leo whilst in custody noone tell them that happens irl,negative,i just cant get over how you got kickedbanned for shooting and resisting an leo whilst in custody noone tell them that happens irl,negative
mr organic chemistry tutor thank you for powerful introduction to the old greek alphabet list and their usage in science and engineering,positive,mr organic chemistry tutor thank you for powerful introduction to the old greek alphabet list and their usage in science and engineering,positive
i love this song a heard it on the radio and fell in love with it,positive,i love this song a heard it on the radio and fell in love with it,positive
a batida dessa música é tão nostálgica ,positive,a batida dessa msica  to nostlgica ,positive
i thought this video was very professionally made i was surprised when i got to the end and saw your subscriber count you definitely deserve more great work on some really good looking games,positive,i thought this video was very professionally made i was surprised when i got to the end and saw your subscriber count you definitely deserve more great work on some really good looking games,positive
just recently started my first role as a data analystconsultant for a property consultancy people in other teams and companies have told me about the struggle they are having finding data analysts im from the uk so this may of course differ where you are living but its clear new companies are realising how imporant data is,neutral,just recently started my first role as a data analystconsultant for a property consultancy people in other teams and companies have told me about the struggle they are having finding data analysts im from the uk so this may of course differ where you are living but its clear new companies are realising how imporant data is,negative
marvel siempre poniendo la música indicada para sus trailers que siempre terminan agradando mucho,neutral,marvel siempre poniendo la msica indicada para sus trailers que siempre terminan agradando mucho,neutral
dude they actually got jim nantz to announce it legendary,positive,dude they actually got jim nantz to announce it legendary,positive
i love how chandler is so funny without even trying,positive,i love how chandler is so funny without even trying,positive
we need more hodgetwins try not to laughs,neutral,we need more hodgetwins try not to laughs,neutral
honestly cant thank you enough for this im just starting off picking an engine and while im going to be doing it solo a lot of this advice is helpful beyond just game development being a visual artist as well i can actually attest to how important the bit about isolation is nothing gasses up your motivation like being able to cross pollinate ideas and support each other,positive,honestly cant thank you enough for this im just starting off picking an engine and while im going to be doing it solo a lot of this advice is helpful beyond just game development being a visual artist as well i can actually attest to how important the bit about isolation is nothing gasses up your motivation like being able to cross pollinate ideas and support each other,positive
the process of han purple seems to me like it was a byproduct of a different and more broadly useful compound or material being made for example i would be curious as to what the bronze smelting processes and practices were like and if any of those materials were used as a flux to strip impurities out of the molten alloy,neutral,the process of han purple seems to me like it was a byproduct of a different and more broadly useful compound or material being made for example i would be curious as to what the bronze smelting processes and practices were like and if any of those materials were used as a flux to strip impurities out of the molten alloy,neutral
if you do i will draw money and start using cash netbanking there after i consider that step would be a pure business they made us get used to upi and charge,neutral,if you do i will draw money and start using cash netbanking there after i consider that step would be a pure business they made us get used to upi and charge,neutral
thank you again rachael interviews are always a challenge i have often contemplated how i should behave while being interviewed it seems that the most successful interview experiences for myself have been ones where i remained relaxed but alert and most important just be myself if you are acting it will tell on you and be unfavorable the person you are talking to is not god just another person keep that in mind during the interview process always be respectful and honest i always enjoy listening to you rachel no matter what you talk about because your diction is near perfect,positive,thank you again rachael interviews are always a challenge i have often contemplated how i should behave while being interviewed it seems that the most successful interview experiences for myself have been ones where i remained relaxed but alert and most important just be myself if you are acting it will tell on you and be unfavorable the person you are talking to is not god just another person keep that in mind during the interview process always be respectful and honest i always enjoy listening to you rachel no matter what you talk about because your diction is near perfect,positive
been a good while since ive been a student but i still watched the vid to find out what cool gadgets are out there didnt think id be walking away from it with a productivity tip that idea of the simple timer is so good instead of devices that can also do time great vid frank,positive,been a good while since ive been a student but i still watched the vid to find out what cool gadgets are out there didnt think id be walking away from it with a productivity tip that idea of the simple timer is so good instead of devices that can also do time great vid frank,positive
hi great video really gave some helpful insights im currently in university studying computer science as every single company in my city said its a requirement but im also going to be working on my own projects hopefully i can skip the stage of being employed and start my own company we can dream haha but yeah this has been helpful the information was concise and well presented good job and thank you,positive,hi great video really gave some helpful insights im currently in university studying computer science as every single company in my city said its a requirement but im also going to be working on my own projects hopefully i can skip the stage of being employed and start my own company we can dream haha but yeah this has been helpful the information was concise and well presented good job and thank you,positive
i read mostly non fiction books on random topics that interest me currently reading a book on artists and architects since lockdown been watching a lot of documentaries on artists and galleries so i got a book on the topic unfortunately it’s about 700 pages which almost put me off but out of pride i couldn’t give up only to become fascinated by how all these buildings that were built for people are no longer there so who do these objects serve this book was written in 2017 with an international look as these creators to encapsulate both artists and architects in a series of interviews have to explain their method some are coy but those willing to share open up this view of how they see the world in relation to the notion of space if i understood correctly each creator seeks to capture and reflect this moment in time for future generations to understand their time,neutral,i read mostly non fiction books on random topics that interest me currently reading a book on artists and architects since lockdown been watching a lot of documentaries on artists and galleries so i got a book on the topic unfortunately its about  pages which almost put me off but out of pride i couldnt give up only to become fascinated by how all these buildings that were built for people are no longer there so who do these objects serve this book was written in  with an international look as these creators to encapsulate both artists and architects in a series of interviews have to explain their method some are coy but those willing to share open up this view of how they see the world in relation to the notion of space if i understood correctly each creator seeks to capture and reflect this moment in time for future generations to understand their time,positive
ten hag is a mastermind the way he positions maguire which inspired man u to victory,neutral,ten hag is a mastermind the way he positions maguire which inspired man u to victory,positive
this tutorial is awesome i could easily understand mysql and compare the difference with ms sql server 3 cheers to you mosh you are helping many developer worlwide,positive,this tutorial is awesome i could easily understand mysql and compare the difference with ms sql server  cheers to you mosh you are helping many developer worlwide,positive
you guys are really getting your moneys worth with the new background music,positive,you guys are really getting your moneys worth with the new background music,positive
ive had varying work schedules and it was incredibly hard to adjust to night shifts at first mainly because it was hard to find time to hang out with friends and family this video has taught me that priorities can change they might take some getting used to but it showed me that a night job doesnt have to mean no social life,neutral,ive had varying work schedules and it was incredibly hard to adjust to night shifts at first mainly because it was hard to find time to hang out with friends and family this video has taught me that priorities can change they might take some getting used to but it showed me that a night job doesnt have to mean no social life,positive
2323 hermosa elección 18kissxuno los mortales abian apreciado tan hermosa mujer 1010 hopi sweeter 1112 sun hotter 0018 aqpt joonie cooler 1800 yoongy butter 2323 son unos de los mejores conciertos mañas no se la las elecciones cinematográficas y artísticas son brillantes referencias culturales europeas realmente interesantes ojalá la cultura europea se representara más a menudo tan bellamente no puedo dejar de decir oh esto es hermoso a lo largo del video luz en serio el que se encargue de la iluminación genia,neutral, hermosa eleccin kissxuno los mortales abian apreciado tan hermosa mujer  hopi sweeter  sun hotter  aqpt joonie cooler  yoongy butter  son unos de los mejores conciertos maas no se la las elecciones cinematogrficas y artsticas son brillantes referencias culturales europeas realmente interesantes ojal la cultura europea se representara ms a menudo tan bellamente no puedo dejar de decir oh esto es hermoso a lo largo del video luz en serio el que se encargue de la iluminacin genia,neutral
this is not just a computer scientist she is an amazing communicator she mirrors the talking points of the learner and always positively commends their opinions all while constantly smiling and making the learner feel at ease what an amazing person,positive,this is not just a computer scientist she is an amazing communicator she mirrors the talking points of the learner and always positively commends their opinions all while constantly smiling and making the learner feel at ease what an amazing person,positive
try using the replay mod then it will render the physics with hopefully a higher framerate,positive,try using the replay mod then it will render the physics with hopefully a higher framerate,neutral
ting man why is she so fast also tingman take three five second brakes to say look at all this jelly,neutral,ting man why is she so fast also tingman take three five second brakes to say look at all this jelly,negative
i feel really sorry for whomever made the second game they sold themselves short i mean you dont owe it to the developer but it would be really cool if your worked with them to make it a full release if theyre interested also could you give these devs a shout out,neutral,i feel really sorry for whomever made the second game they sold themselves short i mean you dont owe it to the developer but it would be really cool if your worked with them to make it a full release if theyre interested also could you give these devs a shout out,positive
thank you wtrade inspects for keeping it light and real at the same time much needed for us hodlers in times like these,positive,thank you wtrade inspects for keeping it light and real at the same time much needed for us hodlers in times like these,positive
hi friend i would like to ask you is there any tools for domain registrars to directly create domains and manage as i am registering for aggregated registrar i need epp tools and domain manage tools kindly please guide me or suggest me any tools for this,neutral,hi friend i would like to ask you is there any tools for domain registrars to directly create domains and manage as i am registering for aggregated registrar i need epp tools and domain manage tools kindly please guide me or suggest me any tools for this,neutral
i love you so much you are a comfort youtuber for me  never stop making content,positive,i love you so much you are a comfort youtuber for me  never stop making content,positive
this monitor is perfect for streaming three 27“ monitors in one is amazing  but man is it expensive ,positive,this monitor is perfect for streaming three  monitors in one is amazing  but man is it expensive ,positive
003 me quiero hacer esta versión de mi personaje con este estilo de pixel pero no tengo uno que este en steve alguien me dice el nombre de este pixel de minecraft,neutral, me quiero hacer esta versin de mi personaje con este estilo de pixel pero no tengo uno que este en steve alguien me dice el nombre de este pixel de minecraft,neutral
nice editing maamu,positive,nice editing maamu,positive
ray j is something special he never disappoints,positive,ray j is something special he never disappoints,positive
if youre still listening to this masterpiece youve a good taste in music architects never let me down,positive,if youre still listening to this masterpiece youve a good taste in music architects never let me down,positive
im impressed by the effort she puts in these videos keep it going bri and be you,positive,im impressed by the effort she puts in these videos keep it going bri and be you,positive
i took the fifth nobody takes the fifth better than i do in fact there has never been anyone in the history of this great country who has taken the fifth better than i have nor is there anyone who knows as much about taking the fifth as me,positive,i took the fifth nobody takes the fifth better than i do in fact there has never been anyone in the history of this great country who has taken the fifth better than i have nor is there anyone who knows as much about taking the fifth as me,positive
even after 6 months a few movies released and few changes in the slate this this still feels powerful,positive,even after  months a few movies released and few changes in the slate this this still feels powerful,positive
love the breakdown i started my first business from money i made off dividends with what i’ve learned over a decade investing given enough time solid investments have the potential to double the initial principal amount but many investors are instead attracted to the lure of high yields in short periods of time despite the possibility of unattractive losses before even getting out so the onus is on newbies to beware having multiple income streams helped me stay afloat in business when the pandemic broke out,positive,love the breakdown i started my first business from money i made off dividends with what ive learned over a decade investing given enough time solid investments have the potential to double the initial principal amount but many investors are instead attracted to the lure of high yields in short periods of time despite the possibility of unattractive losses before even getting out so the onus is on newbies to beware having multiple income streams helped me stay afloat in business when the pandemic broke out,positive
i wish you guys included the myths and stories of the indigenous peoples of the western hemisphere theyre very interesting and similarly eerie to some of the stories of europe,positive,i wish you guys included the myths and stories of the indigenous peoples of the western hemisphere theyre very interesting and similarly eerie to some of the stories of europe,positive
tony never forgot a line,neutral,tony never forgot a line,positive
love love love love asmr ,positive,love love love love asmr ,positive
please ad cult of the lamb to game pass,neutral,please ad cult of the lamb to game pass,neutral
its interviews like this that give people like him legitimacy when they dont deserve any giving a platform to dishonesty is not balance or equity,negative,its interviews like this that give people like him legitimacy when they dont deserve any giving a platform to dishonesty is not balance or equity,negative
one of my favorite cakes my mother ever made started out as a near fail it was a cheesecake that had cracked down the middle we had blueberries growing in our yard so she took a bunch that wed already picked cooked them down into a thick jelly and poured it into the crack as i recall she called it grand canyon blueberry cheesecake,positive,one of my favorite cakes my mother ever made started out as a near fail it was a cheesecake that had cracked down the middle we had blueberries growing in our yard so she took a bunch that wed already picked cooked them down into a thick jelly and poured it into the crack as i recall she called it grand canyon blueberry cheesecake,positive
i haven’t watched you for a while just to see how far you would go and you went better than i expected,positive,i havent watched you for a while just to see how far you would go and you went better than i expected,positive
normal computers playing dinosaur game school computers the owner of this device turned off the dinosaur game,negative,normal computers playing dinosaur game school computers the owner of this device turned off the dinosaur game,positive
love it its so very nice,positive,love it its so very nice,positive
that sam cs bgm towards the end gave me massive goosebumps vishalshekar and sam are gonna kill with the soundtrack,positive,that sam cs bgm towards the end gave me massive goosebumps vishalshekar and sam are gonna kill with the soundtrack,positive
love how it stops being a manhunt as soon as the wardens spawn in,neutral,love how it stops being a manhunt as soon as the wardens spawn in,positive
a message to anybodys whos stressed needs to go to sleep or is in a low point in their life its okay take a deep breath and embrace life as it is life isnt perfect but we can always find joy in it a phoenix always rises from the ashes you got this,positive,a message to anybodys whos stressed needs to go to sleep or is in a low point in their life its okay take a deep breath and embrace life as it is life isnt perfect but we can always find joy in it a phoenix always rises from the ashes you got this,positive
i usually skip the sponsors but this guy puts so much effort into making his sponsorship announcements so fun i cant help but watch,positive,i usually skip the sponsors but this guy puts so much effort into making his sponsorship announcements so fun i cant help but watch,positive
credit to crystal palace that was a great counterattack before the goal reminiscing of brentfords 4th on saturday,positive,credit to crystal palace that was a great counterattack before the goal reminiscing of brentfords th on saturday,positive
for the randomness section we dont use time anymore we use cpu activity or noise entropy patterns etc as well as modulo arithmetic and state transition functions,neutral,for the randomness section we dont use time anymore we use cpu activity or noise entropy patterns etc as well as modulo arithmetic and state transition functions,neutral
ive only known george for 22 minutes but hes too precious,positive,ive only known george for  minutes but hes too precious,neutral
this man is still killin it after so many years ,positive,this man is still killin it after so many years ,positive
tony driving to this is just so satisfying,positive,tony driving to this is just so satisfying,positive
hq bass music,neutral,hq bass music,positive
you can tell how close she must be to her mum she mentions her every 2 minutes its so adorable,positive,you can tell how close she must be to her mum she mentions her every  minutes its so adorable,positive
wieder super video isy und ich hab eine spinnenphobie trotzdem schau ich deine videos  wie machst du das immer super und sollte heute nicht göttin kommen,positive,wieder super video isy und ich hab eine spinnenphobie trotzdem schau ich deine videos  wie machst du das immer super und sollte heute nicht gttin kommen,neutral
whats done in the dark comes to the light all i can say is if there are some women using these types of schemes to just get a bag please do better because theyre actual victims out here of rape or molestation,negative,whats done in the dark comes to the light all i can say is if there are some women using these types of schemes to just get a bag please do better because theyre actual victims out here of rape or molestation,neutral
rumors were that amazon would launch amz this month and judging from this its pretty accurate haha,positive,rumors were that amazon would launch amz this month and judging from this its pretty accurate haha,positive
muy bueno el juego aunque tambien le faltaria el modo survival el poder volar en creativo y en android no se ve sombra del jugador estos son tips que podrías usar en un futuro para actualizar el rtxcrafr ,positive,muy bueno el juego aunque tambien le faltaria el modo survival el poder volar en creativo y en android no se ve sombra del jugador estos son tips que podras usar en un futuro para actualizar el rtxcrafr ,neutral
i love the new display and gear the new abilities fit the “city of chaos” get up i like how it shows what weapons we should expect to have their specials can’t wait to see if they release a test fire,positive,i love the new display and gear the new abilities fit the city of chaos get up i like how it shows what weapons we should expect to have their specials cant wait to see if they release a test fire,positive
jimmy just straight up had fun while chris was racing air,positive,jimmy just straight up had fun while chris was racing air,positive
